,Station Name,101,501,103,401,105,701,301,403,107,703,303,405,109,705,305,407,111,503,113,505,115,507,117,509,119,511,121,513,123,307,409,125,707,309,411,127,709,311,413,129,711,313,415,131,515,133,135,137,139,141,143,145
Zone,Service Type,L1,L5,L1,L4,L1,B7,L3,L4,L1,B7,L3,L4,L1,B7,L3,L4,L1,L5,L1,L5,L1,L5,L1,L5,L1,L5,L1,L5,L1,L3,L4,L1,B7,L3,L4,L1,B7,L3,L4,L1,B7,L3,L4,L1,L5,L1,L1,L1,L1,L1,L1,L1
6,Gilroy,--,--,--,--,--,--,--,5:54am,--,--,6:31am,6:52am,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,San Martin,--,--,--,--,--,--,--,6:03am,--,--,6:40am,7:01am,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,Morgan Hill,--,--,--,--,--,--,--,6:09am,--,--,6:46am,7:07am,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,Blossom Hill,--,--,--,--,--,--,--,6:24am,--,--,7:01am,7:22am,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,Capitol,--,--,--,--,--,--,--,6:30am,--,--,7:07am,7:28am,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4,Tamien,4:22am,5:02am,--,5:38am,--,--,6:16am,6:37am,6:48am,--,7:14am,7:35am,7:48am,--,8:17am,--,8:50am,--,9:48am,--,10:48am,--,11:48am,--,12:48pm,--,1:48pm,--,2:48pm,--,--,3:48pm,--,--,--,4:48pm,--,--,--,5:45pm,--,6:16pm,--,6:50pm,--,7:48pm,--,8:42pm,--,9:42pm,--,11:05pm
4,San Jose Diridon,4:28am,5:09am,5:15am,5:44am,5:54am,5:59am,6:23am,6:44am,6:54am,6:59am,7:23am,7:42am,7:54am,7:59am,8:23am,8:44am,8:56am,9:43am,9:54am,10:43am,10:54am,11:43am,11:54am,12:43pm,12:54pm,1:43pm,1:54pm,2:43pm,2:54pm,3:22pm,3:44pm,3:54pm,3:59pm,4:24pm,4:44pm,4:54pm,4:59pm,5:23pm,5:44pm,5:54pm,5:59pm,6:23pm,6:44pm,6:56pm,7:43pm,7:54pm,8:24pm,8:49pm,9:19pm,9:49pm,10:19pm,11:12pm
4,College Park,--,--,--,--,--,--,--,--,--,--,--,7:46am,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3:26pm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4,Santa Clara,4:34am,5:15am,5:21am,5:50am,6:00am,--,--,6:50am,7:00am,--,--,7:50am,8:00am,--,--,8:50am,9:02am,9:49am,10:00am,10:49am,11:00am,11:49am,12:00pm,12:49pm,1:00pm,1:49pm,2:00pm,2:49pm,3:00pm,--,3:50pm,4:00pm,--,--,4:50pm,5:00pm,--,--,5:50pm,6:00pm,--,--,6:50pm,7:02pm,7:49pm,8:00pm,8:30pm,8:55pm,9:25pm,9:55pm,10:25pm,11:18pm
4,Lawrence,4:40am,--,5:27am,--,6:09am,--,6:33am,--,7:09am,--,7:33am,--,8:09am,--,8:33am,--,9:08am,--,10:06am,--,11:06am,--,12:06pm,--,1:06pm,--,2:06pm,--,3:06pm,3:33pm,--,4:09pm,--,4:34pm,--,5:09pm,--,5:33pm,--,6:09pm,--,6:33pm,--,7:08pm,--,8:06pm,8:36pm,9:01pm,9:31pm,10:01pm,10:31pm,11:24pm
3,Sunnyvale,4:44am,5:23am,5:31am,5:58am,6:14am,--,6:37am,6:58am,7:14am,--,7:37am,7:58am,8:14am,--,8:37am,8:58am,9:12am,9:56am,10:10am,10:56am,11:10am,11:56am,12:10pm,12:56pm,1:10pm,1:56pm,2:10pm,2:56pm,3:10pm,3:38pm,3:58pm,4:14pm,--,4:38pm,4:58pm,5:14pm,--,5:37pm,5:58pm,6:14pm,--,6:37pm,6:58pm,7:12pm,7:56pm,8:10pm,8:40pm,9:05pm,9:35pm,10:05pm,10:35pm,11:28pm
3,Mountain View,4:49am,5:27am,5:36am,6:03am,6:19am,6:13am,6:42am,7:03am,7:19am,7:13am,7:42am,8:03am,8:19am,8:13am,8:42am,9:03am,9:17am,10:01am,10:15am,11:01am,11:15am,12:01pm,12:15pm,1:01pm,1:15pm,2:01pm,2:15pm,3:01pm,3:15pm,3:43pm,4:03pm,4:19pm,4:13pm,4:43pm,5:03pm,5:19pm,5:13pm,5:42pm,6:03pm,6:19pm,6:13pm,6:42pm,7:03pm,7:17pm,8:01pm,8:15pm,8:45pm,9:10pm,9:40pm,10:10pm,10:40pm,11:33pm
3,San Antonio,4:53am,--,5:40am,--,6:22am,--,6:46am,--,7:22am,--,7:46am,--,8:22am,--,8:46am,--,9:21am,--,10:19am,--,11:19am,--,12:19pm,--,1:19pm,--,2:19pm,--,3:19pm,3:46pm,--,4:22pm,--,4:46pm,--,5:22pm,--,5:46pm,--,6:22pm,--,6:46pm,--,7:21pm,--,8:19pm,8:49pm,9:14pm,9:44pm,10:14pm,10:44pm,11:37pm
3,California Avenue,4:57am,--,5:44am,--,6:27am,--,6:50am,--,7:27am,--,7:50am,--,8:27am,--,8:50am,--,9:25am,--,10:24am,--,11:24am,--,12:24pm,--,1:24pm,--,2:24pm,--,3:24pm,3:51pm,--,4:27pm,--,4:51pm,--,5:27pm,--,5:50pm,--,6:27pm,--,6:50pm,--,7:25pm,--,8:23pm,8:53pm,9:18pm,9:48pm,10:18pm,10:48pm,11:41pm
3,Palo Alto,5:01am,5:35am,5:48am,6:10am,6:31am,6:21am,6:54am,7:11am,7:31am,7:21am,7:54am,8:11am,8:31am,8:21am,8:54am,9:11am,9:29am,10:09am,10:28am,11:09am,11:28am,12:09pm,12:28pm,1:09pm,1:28pm,2:09pm,2:28pm,3:09pm,3:28pm,3:55pm,4:11pm,4:31pm,4:21pm,4:55pm,5:11pm,5:31pm,5:21pm,5:54pm,6:11pm,6:31pm,6:21pm,6:54pm,7:11pm,7:29pm,8:09pm,8:27pm,8:57pm,9:23pm,9:52pm,10:23pm,10:52pm,11:46pm
