,Station Name,151,153,651,653,655,657,659,661,663,665,667,669,671,503,113,505,115,507,117,509,119,511,121,513,123,673,675,677,679,681,683,685,687,689,691,693,515,183,185,137,139,141,143,145
Zone,Service Type,L1,L1,L6,L6,L6,L6,L6,L6,L6,L6,L6,L6,L6,L5,L1,L5,L1,L5,L1,L5,L1,L5,L1,L5,L1,L6,L6,L6,L6,L6,L6,L6,L6,L6,L6,L6,L5,L1,L1,L1,L1,L1,L1,L1
6,Gilroy,--,--,--,--,--,5:56am,--,6:21am,6:54am,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,San Martin,--,--,--,--,--,6:05am,--,6:30am,7:03am,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,Morgan Hill,--,--,--,--,--,6:11am,--,6:36am,7:09am,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,Blossom Hill,--,--,--,--,--,6:26am,--,6:51am,7:24am,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,Capitol,--,--,--,--,--,6:32am,--,6:57am,7:30am,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4,Tamien,4:22am,--,5:39am,--,6:03am,6:39am,--,7:04am,7:37am,--,--,8:39am,--,--,9:48am,--,10:48am,--,11:48am,--,12:48pm,--,1:48pm,--,2:48pm,3:37pm,--,--,4:39pm,--,--,5:39pm,--,--,6:39pm,--,--,7:48pm,--,8:42pm,--,9:42pm,--,11:05pm
4,San Jose Diridon,4:28am,5:00am,5:46am,5:57am,6:10am,6:46am,6:57am,7:11am,7:44am,7:57am,8:10am,8:46am,9:10am,9:43am,9:54am,10:43am,10:54am,11:43am,11:54am,12:43pm,12:54pm,1:43pm,1:54pm,2:43pm,2:54pm,3:44pm,3:57pm,4:10pm,4:46pm,4:57pm,5:10pm,5:46pm,5:57pm,6:10pm,6:46pm,7:10pm,7:43pm,7:54pm,8:24pm,8:49pm,9:19pm,9:49pm,10:19pm,11:12pm
4,College Park,--,--,--,--,--,--,--,--,7:48am,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3:48pm,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4,Santa Clara,4:34am,5:06am,5:52am,--,--,6:52am,--,--,7:52am,--,--,8:52am,--,9:49am,10:00am,10:49am,11:00am,11:49am,12:00pm,12:49pm,1:00pm,1:49pm,2:00pm,2:49pm,3:00pm,3:52pm,--,--,4:52pm,--,--,5:52pm,--,--,6:52pm,--,7:49pm,8:00pm,8:30pm,8:55pm,9:25pm,9:55pm,10:25pm,11:18pm
4,Lawrence,4:40am,5:12am,5:58am,6:07am,--,6:58am,7:07am,--,7:58am,8:07am,--,8:58am,--,--,10:06am,--,11:06am,--,12:06pm,--,1:06pm,--,2:06pm,--,3:06pm,3:58pm,4:07pm,--,4:58pm,5:07pm,--,5:58pm,6:07pm,--,6:58pm,--,--,8:06pm,8:36pm,9:01pm,9:31pm,10:01pm,10:31pm,11:24pm
3,Sunnyvale,4:44am,5:16am,6:02am,6:11am,6:21am,7:02am,7:11am,7:22am,8:02am,8:11am,8:21am,9:02am,9:21am,9:56am,10:10am,10:56am,11:10am,11:56am,12:10pm,12:56pm,1:10pm,1:56pm,2:10pm,2:56pm,3:10pm,4:02pm,4:11pm,4:21pm,5:02pm,5:11pm,5:21pm,6:02pm,6:11pm,6:21pm,7:02pm,7:21pm,7:56pm,8:10pm,8:40pm,9:05pm,9:35pm,10:05pm,10:35pm,11:28pm
3,Mountain View,4:49am,5:21am,6:07am,6:16am,6:26am,7:07am,7:16am,7:27am,8:07am,8:16am,8:26am,9:07am,9:26am,10:01am,10:15am,11:01am,11:15am,12:01pm,12:15pm,1:01pm,1:15pm,2:01pm,2:15pm,3:01pm,3:15pm,4:07pm,4:16pm,4:26pm,5:07pm,5:16pm,5:26pm,6:07pm,6:16pm,6:26pm,7:07pm,7:26pm,8:01pm,8:15pm,8:45pm,9:10pm,9:40pm,10:10pm,10:40pm,11:33pm
3,San Antonio,4:53am,5:25am,6:10am,--,--,7:10am,--,--,8:10am,--,--,9:10am,--,--,10:19am,--,11:19am,--,12:19pm,--,1:19pm,--,2:19pm,--,3:19pm,4:10pm,--,--,5:10pm,--,--,6:10pm,--,--,7:10pm,--,--,8:19pm,8:49pm,9:14pm,9:44pm,10:14pm,10:44pm,11:37pm
3,California Avenue,4:57am,5:29am,6:15am,6:22am,--,7:15am,7:22am,--,8:15am,8:22am,--,9:15am,--,--,10:24am,--,11:24am,--,12:24pm,--,1:24pm,--,2:24pm,--,3:24pm,4:15pm,4:22pm,--,5:15pm,5:22pm,--,6:15pm,6:22pm,--,7:15pm,--,--,8:23pm,8:53pm,9:18pm,9:48pm,10:18pm,10:48pm,11:41pm
3,Palo Alto,5:01am,5:33am,6:19am,6:26am,6:34am,7:19am,7:26am,7:35am,8:19am,8:26am,8:34am,9:19am,9:34am,10:09am,10:28am,11:09am,11:28am,12:09pm,12:28pm,1:09pm,1:28pm,2:09pm,2:28pm,3:09pm,3:28pm,4:19pm,4:26pm,4:34pm,5:19pm,5:26pm,5:34pm,6:19pm,6:26pm,6:34pm,7:19pm,7:34pm,8:09pm,8:27pm,8:57pm,9:23pm,9:52pm,10:23pm,10:52pm,11:46pm
3,Menlo Park,5:04am,5:37am,6:23am,6:29am,--,7:23am,7:29am,--,8:22am,8:29am,--,9:23am,--,10:12am,10:32am,11:12am,11:32am,12:12pm,12:32pm,1:12pm,1:32pm,2:12pm,2:32pm,3:12pm,3:32pm,4:23pm,4:29pm,--,5:23pm,5:29pm,--,6:23pm,6:29pm,--,7:23pm,--,8:12pm,8:30pm,9:00pm,9:26pm,9:56pm,10:26pm,10:56pm,11:50pm
2,Redwood City,5:10am,5:42am,6:28am,6:35am,6:41am,7:28am,7:35am,7:42am,8:28am,8:35am,8:41am,9:28am,9:41am,10:18am,10:37am,11:18am,11:37am,12:18pm,12:37pm,1:18pm,1:37pm,2:18pm,2:37pm,3:18pm,3:37pm,4:28pm,4:35pm,4:41pm,5:28pm,5:35pm,5:41pm,6:28pm,6:35pm,6:41pm,7:28pm,7:41pm,8:18pm,8:36pm,9:06pm,9:33pm,10:02pm,10:33pm,11:02pm,11:56pm
2,San Carlos,5:15am,5:47am,6:33am,6:40am,--,7:33am,7:40am,--,8:33am,8:40am,--,9:33am,--,--,10:42am,--,11:42am,--,12:42pm,--,1:42pm,--,2:42pm,--,3:42pm,4:33pm,4:40pm,--,5:33pm,5:40pm,--,6:33pm,6:40pm,--,7:33pm,--,--,8:40pm,9:10pm,9:38pm,10:07pm,10:38pm,11:07pm,12:01am
2,Belmont,5:18am,5:51am,6:36am,--,6:47am,7:36am,--,7:48am,8:36am,--,8:47am,9:36am,9:47am,--,10:45am,--,11:45am,--,12:45pm,--,1:45pm,--,2:45pm,--,3:45pm,4:36pm,--,4:47pm,5:36pm,--,5:47pm,6:36pm,--,6:47pm,7:36pm,7:47pm,--,8:44pm,9:14pm,9:41pm,10:11pm,10:41pm,11:11pm,12:05am
2,Hillsdale,5:22am,5:55am,6:40am,6:45am,6:51am,7:40am,7:45am,7:52am,8:40am,8:45am,8:51am,9:40am,9:51am,10:25am,10:49am,11:25am,11:49am,12:25pm,12:49pm,1:25pm,1:49pm,2:25pm,2:49pm,3:25pm,3:49pm,4:40pm,4:45pm,4:51pm,5:40pm,5:45pm,5:51pm,6:40pm,6:45pm,6:51pm,7:40pm,7:51pm,8:26pm,8:47pm,9:17pm,9:45pm,10:15pm,10:45pm,11:15pm,12:09am
2,Hayward Park,5:25am,5:58am,--,--,6:54am,--,--,7:55am,--,--,8:54am,--,9:54am,--,10:52am,--,11:52am,--,12:52pm,--,1:52pm,--,2:52pm,--,3:52pm,--,--,4:54pm,--,--,5:54pm,--,--,6:54pm,--,7:54pm,--,8:50pm,9:20pm,9:48pm,10:18pm,10:48pm,11:18pm,12:12am
2,San Mateo,5:28am,6:01am,--,6:50am,6:57am,--,7:50am,7:58am,--,8:50am,8:57am,--,9:57am,10:31am,10:56am,11:31am,11:56am,12:31pm,12:56pm,1:31pm,1:56pm,2:31pm,2:56pm,3:31pm,3:56pm,--,4:50pm,4:57pm,--,5:50pm,5:57pm,--,6:50pm,6:57pm,--,7:57pm,8:31pm,8:54pm,9:24pm,9:52pm,10:22pm,10:52pm,11:22pm,12:16am
2,Burlingame,5:32am,6:05am,--,--,7:01am,--,--,8:02am,--,--,9:01am,--,10:01am,--,11:00am,--,12:00pm,--,1:00pm,--,2:00pm,--,3:00pm,--,4:00pm,--,--,5:01pm,--,--,6:01pm,--,--,7:01pm,--,8:01pm,--,8:57pm,9:27pm,9:56pm,10:25pm,10:56pm,11:25pm,12:19am
2,Millbrae,5:37am,6:10am,6:49am,6:56am,7:06am,7:49am,7:56am,8:07am,8:49am,8:56am,9:06am,9:49am,10:06am,10:38am,11:05am,11:38am,12:05pm,12:38pm,1:05pm,1:38pm,2:05pm,2:38pm,3:05pm,3:38pm,4:05pm,4:49pm,4:56pm,5:06pm,5:49pm,5:56pm,6:06pm,6:49pm,6:56pm,7:06pm,7:49pm,8:06pm,8:37pm,9:03pm,9:33pm,10:01pm,10:31pm,11:01pm,11:31pm,12:25am
1,San Bruno,5:41am,6:15am,--,--,7:10am,--,--,8:11am,--,--,9:10am,--,10:10am,--,11:10am,--,12:10pm,--,1:10pm,--,2:10pm,--,3:10pm,--,4:10pm,--,--,5:10pm,--,--,6:10pm,--,--,7:10pm,--,8:10pm,--,9:08pm,9:38pm,10:06pm,10:36pm,11:05pm,11:36pm,12:29am
1,South San Francisco,5:45am,6:19am,--,--,7:14am,--,--,8:15am,--,--,9:14am,--,10:14am,--,11:15am,--,12:14pm,--,1:14pm,--,2:14pm,--,3:14pm,--,4:14pm,--,--,5:14pm,--,--,6:14pm,--,--,7:14pm,--,8:14pm,--,9:12pm,9:42pm,10:10pm,10:40pm,11:09pm,11:40pm,12:33am
